geoid,name,B02001001 - Total:,"B02001001 - Total:, Error",B02001002 - White alone,"B02001002 - White alone, Error",B02001003 - Black or African American alone,"B02001003 - Black or African American alone, Error",B02001004 - American Indian and Alaska Native alone,"B02001004 - American Indian and Alaska Native alone, Error",B02001005 - Asian alone,"B02001005 - Asian alone, Error",B02001006 - Native Hawaiian and Other Pacific Islander alone,"B02001006 - Native Hawaiian and Other Pacific Islander alone, Error",B02001007 - Some other race alone,"B02001007 - Some other race alone, Error",B02001008 - Two or more races:,"B02001008 - Two or more races:, Error",B02001009 - Two races including Some other race,"B02001009 - Two races including Some other race, Error","B02001010 - Two races excluding Some other race, and three or more races","B02001010 - Two races excluding Some other race, and three or more races, Error"
04000US19,Iowa,3047646,0,2793432,2441,88664,1277,9708,725,54262,715,1308,329,44227,2376,56045,2269,6473,818,49572,2053
05000US19001,"Adair County, IA",7628,0,7457,62,11,11,12,11,46,32,0,14,0,14,102,66,33,48,69,41
05000US19003,"Adams County, IA",4027,0,3944,29,12,11,6,7,0,10,0,10,10,14,55,30,4,6,51,30
05000US19005,"Allamakee County, IA",14285,0,13614,163,39,25,187,154,136,54,0,16,45,45,264,156,5,8,259,156
05000US19007,"Appanoose County, IA",12858,0,12500,48,61,40,3,7,38,9,0,16,20,25,236,83,33,31,203,71
05000US19009,"Audubon County, IA",6077,0,5978,17,4,12,33,34,9,10,0,14,4,5,49,26,14,13,35,20
05000US19011,"Benton County, IA",26044,0,25361,110,65,35,6,10,41,48,0,18,177,93,394,92,84,76,310,61
05000US19013,"Black Hawk County, IA",130843,0,112517,477,11774,308,213,94,1851,172,38,33,1595,422,2855,418,592,257,2263,324
05000US19015,"Boone County, IA",26324,0,25693,33,236,37,66,46,155,28,0,18,23,24,151,51,7,17,144,45
05000US19017,"Bremer County, IA",24294,0,23629,46,200,67,22,22,122,47,45,62,38,31,238,91,19,17,219,91
05000US19019,"Buchanan County, IA",20988,0,20494,51,136,100,41,21,109,114,0,18,97,55,111,48,14,21,97,45
05000US19021,"Buena Vista County, IA",20215,0,16641,517,478,59,23,17,1173,19,95,14,1279,482,526,237,162,105,364,228
05000US19023,"Butler County, IA",14899,0,14687,21,41,30,29,28,41,13,7,11,10,19,84,31,0,16,84,31
05000US19025,"Calhoun County, IA",9936,0,9691,27,87,43,11,15,20,27,0,14,14,19,113,48,15,20,98,42
05000US19027,"Carroll County, IA",20751,0,20190,84,85,80,55,10,169,110,8,14,117,79,127,90,76,51,51,69
05000US19029,"Cass County, IA",13865,0,13536,85,64,53,40,32,12,13,0,16,70,66,143,45,26,22,117,46
05000US19031,"Cedar County, IA",18446,0,18045,64,16,16,11,14,121,80,0,16,66,66,187,81,8,10,179,81
05000US19033,"Cerro Gordo County, IA",44083,0,41979,238,554,242,86,42,424,71,0,21,283,138,757,178,68,61,689,173
05000US19035,"Cherokee County, IA",12011,0,11650,91,36,29,35,27,24,23,0,16,110,91,156,27,0,16,156,27
05000US19037,"Chickasaw County, IA",12409,0,12131,95,29,26,110,108,65,41,0,16,16,18,58,38,34,37,24,22
05000US19039,"Clarke County, IA",9286,0,9125,14,91,57,5,12,10,19,0,14,0,14,55,52,0,14,55,52
05000US19041,"Clay County, IA",16649,0,16053,132,48,58,29,28,67,44,54,54,198,143,200,81,25,33,175,74
05000US19043,"Clayton County, IA",18056,0,17647,59,62,38,24,23,19,12,0,16,46,34,258,61,81,47,177,44
05000US19045,"Clinton County, IA",49074,0,46205,128,1471,133,73,42,200,25,0,21,243,99,882,137,103,89,779,121
