geoid,name,B08126001 - Total:,"B08126002 - Agriculture, forestry, fishing and hunting, and mining",B08126003 - Construction,B08126004 - Manufacturing,B08126005 - Wholesale trade,B08126006 - Retail trade,"B08126007 - Transportation and warehousing, and utilities",B08126008 - Information,"B08126009 - Finance and insurance, and real estate and rental and leasing","B08126010 - Professional, scientific, and management, and administrative and waste management services","B08126011 - Educational services, and health care and social assistance","B08126012 - Arts, entertainment, and recreation, and accommodation and food services",B08126013 - Other services (except public administration),B08126014 - Public administration,B08126015 - Armed forces
05000US19001,"Adair County, IA",3936,555,384,463,124,441,261,27,282,133,770,146,150,200,0
05000US19003,"Adams County, IA",2036,254,102,215,98,165,143,35,94,36,603,72,92,103,24
05000US19005,"Allamakee County, IA",6801,716,501,1023,120,903,516,81,333,188,1428,432,350,210,0
05000US19007,"Appanoose County, IA",5659,437,395,917,241,871,423,47,147,227,1210,461,127,153,3
05000US19009,"Audubon County, IA",3129,504,231,247,78,390,142,36,135,197,705,163,193,108,0
05000US19011,"Benton County, IA",13105,737,965,2371,532,1495,681,435,931,597,2660,720,532,446,3
05000US19013,"Black Hawk County, IA",63928,753,3265,11154,1879,7433,2817,863,3910,4460,16665,6130,2996,1500,103
05000US19015,"Boone County, IA",13311,618,906,1254,398,1597,825,148,882,992,3537,633,766,722,33
05000US19017,"Bremer County, IA",12475,543,634,2141,312,1434,384,137,998,686,3509,787,583,298,29
05000US19019,"Buchanan County, IA",10156,636,876,1843,276,1128,552,180,549,475,2251,498,587,304,1
05000US19021,"Buena Vista County, IA",10508,915,556,2762,308,1107,183,117,285,309,2448,722,563,222,11
05000US19023,"Butler County, IA",7009,634,333,1515,210,806,366,94,298,264,1713,257,325,186,8
05000US19025,"Calhoun County, IA",4581,545,219,387,209,531,323,97,207,138,1243,210,155,312,5
05000US19027,"Carroll County, IA",10937,920,772,1386,810,1345,469,137,717,424,2454,808,368,327,0
05000US19029,"Cass County, IA",6745,549,533,776,120,1044,311,89,335,327,1749,466,321,125,0
05000US19031,"Cedar County, IA",9805,515,866,1567,361,949,561,187,426,654,2377,549,375,402,16
05000US19033,"Cerro Gordo County, IA",22722,481,1113,3558,918,3101,1161,386,1060,1474,5742,2013,1085,569,61
05000US19035,"Cherokee County, IA",6204,621,431,964,300,733,214,113,301,174,1438,383,287,240,5
05000US19037,"Chickasaw County, IA",5927,574,428,1387,141,668,259,41,181,222,1320,226,349,131,0
05000US19039,"Clarke County, IA",4622,303,317,609,242,769,279,23,244,171,848,525,83,128,81
05000US19041,"Clay County, IA",8544,497,539,1188,374,1560,340,204,386,499,1771,573,377,200,36
05000US19043,"Clayton County, IA",8926,947,682,1660,298,1040,417,130,312,529,1780,580,320,231,0
05000US19045,"Clinton County, IA",23602,841,1592,4747,562,2801,1413,610,1088,1382,5269,1789,867,628,13
05000US19047,"Crawford County, IA",7771,597,604,1647,213,879,399,82,349,239,1653,551,367,191,0
05000US19049,"Dallas County, IA",35207,766,2182,2939,1220,3692,1083,957,8019,3240,7024,1562,1203,1220,100
05000US19051,"Davis County, IA",3572,228,329,692,68,413,148,51,103,195,811,240,159,135,0
05000US19053,"Decatur County, IA",3762,392,265,321,88,417,186,51,100,142,1312,252,151,82,3
05000US19055,"Delaware County, IA",9364,833,714,1947,276,1456,355,135,336,455,1907,336,313,299,2
05000US19057,"Des Moines County, IA",18450,381,1181,3743,259,2693,1061,292,578,838,3954,1945,847,624,54
05000US19059,"Dickinson County, IA",8848,470,744,1398,328,1183,438,139,432,411,1504,888,504,395,14
05000US19061,"Dubuque County, IA",49010,1042,2992,7179,1244,6207,1968,1468,3049,3278,12084,4524,2549,1384,42
05000US19063,"Emmet County, IA",5084,386,285,1190,163,638,276,57,140,176,958,425,221,166,3
05000US19065,"Fayette County, IA",9609,818,644,1385,357,1117,589,134,357,535,2416,523,399,326,9
05000US19067,"Floyd County, IA",7611,561,394,1572,221,951,372,57,354,465,1629,398,353,284,0
05000US19069,"Franklin County, IA",5328,556,434,870,346,603,277,139,165,286,1026,221,256,149,0
05000US19071,"Fremont County, IA",3514,271,236,559,83,405,209,37,141,116,966,123,174,192,2
05000US19073,"Greene County, IA",4537,576,352,597,158,606,206,78,207,194,1145,92,148,175,3
05000US19075,"Grundy County, IA",6137,599,519,953,224,703,298,68,319,330,1315,271,298,223,17
05000US19077,"Guthrie County, IA",5254,548,440,497,138,439,278,182,598,248,1138,190,395,153,10
05000US19079,"Hamilton County, IA",7362,521,456,1681,197,871,362,184,340,351,1338,479,361,221,0
05000US19081,"Hancock County, IA",5579,540,210,1457,266,544,369,46,272,184,1075,164,290,162,0
05000US19083,"Hardin County, IA",8060,832,578,1001,413,1067,271,119,362,394,1844,367,387,423,2
05000US19085,"Harrison County, IA",7301,506,573,887,338,695,450,140,439,388,1678,580,376,228,23
05000US19087,"Henry County, IA",9183,436,564,1864,160,1080,506,145,382,680,2184,522,352,289,19
05000US19089,"Howard County, IA",4784,510,272,1089,201,572,151,32,254,94,979,205,288,132,5
05000US19091,"Humboldt County, IA",4769,451,359,951,170,549,228,68,155,193,1115,208,225,92,5
05000US19093,"Ida County, IA",3487,397,204,668,65,346,236,30,175,158,746,197,155,110,0
05000US19095,"Iowa County, IA",8606,647,556,1652,262,1011,411,145,226,364,2300,531,358,143,0
05000US19097,"Jackson County, IA",9839,659,762,1782,365,1345,836,148,494,358,1807,694,379,210,0
05000US19099,"Jasper County, IA",16884,650,1042,2724,727,2060,762,409,1313,1076,3297,1191,918,706,9
05000US19101,"Jefferson County, IA",8055,407,461,952,257,910,295,141,832,699,1730,592,544,235,0
05000US19103,"Johnson County, IA",72989,848,3030,5866,1524,7133,2422,1429,3660,5562,29784,7717,2441,1494,79
05000US19105,"Jones County, IA",9788,691,856,1694,248,1108,558,195,428,597,2033,588,470,320,2
05000US19107,"Keokuk County, IA",4918,461,392,932,163,508,185,58,185,166,1267,172,255,174,0
05000US19109,"Kossuth County, IA",7807,1010,375,1159,255,835,406,101,465,295,1952,385,361,208,0
05000US19111,"Lee County, IA",16142,460,1056,3756,288,1940,980,248,539,785,3177,1380,672,836,25
05000US19113,"Linn County, IA",109997,1089,6337,19120,3341,13745,5177,3507,8667,9943,23883,7790,4462,2820,116
05000US19115,"Louisa County, IA",5518,396,313,1809,105,431,357,64,179,286,1017,228,175,158,0
05000US19117,"Lucas County, IA",3735,186,182,499,354,671,256,46,261,167,773,108,137,85,10
05000US19119,"Lyon County, IA",5802,779,315,961,224,507,292,189,312,283,1218,267,236,219,0
05000US19121,"Madison County, IA",7812,361,865,390,188,1044,439,207,1185,572,1544,498,272,229,18
05000US19123,"Mahaska County, IA",10647,625,666,2538,251,1106,460,158,441,606,2411,722,389,253,21
05000US19125,"Marion County, IA",16279,503,861,3601,365,1640,563,288,846,767,4435,1038,1001,358,13
05000US19127,"Marshall County, IA",18643,645,1054,4719,359,2008,969,246,665,882,4335,1246,901,597,17
05000US19129,"Mills County, IA",7112,386,513,526,248,902,447,68,474,482,1913,449,264,410,30
05000US19131,"Mitchell County, IA",5176,582,424,1137,106,556,261,26,153,177,1097,237,295,125,0
05000US19133,"Monona County, IA",4107,413,292,388,175,494,205,75,140,203,1012,317,195,195,3
05000US19135,"Monroe County, IA",3593,264,220,818,18,375,143,99,146,63,949,221,112,165,0
05000US19137,"Montgomery County, IA",4672,395,320,564,171,433,271,153,168,302,1101,461,201,132,0
05000US19139,"Muscatine County, IA",20539,461,1329,5965,401,2151,1043,272,753,1618,3527,1783,745,475,16
05000US19141,"O'Brien County, IA",7060,469,598,1322,267,944,318,144,239,264,1664,387,253,191,0
05000US19143,"Osceola County, IA",3289,421,168,754,81,357,141,55,122,149,675,182,118,61,5
05000US19145,"Page County, IA",6915,473,356,1199,151,877,248,151,256,306,1849,373,274,391,11
05000US19147,"Palo Alto County, IA",4464,430,321,705,84,442,277,74,174,128,1060,451,137,163,18
05000US19149,"Plymouth County, IA",13534,1062,593,2524,364,1769,903,171,623,609,3156,782,658,320,0
05000US19151,"Pocahontas County, IA",3596,544,142,634,117,362,246,45,119,167,762,173,171,102,12
05000US19153,"Polk County, IA",226602,2705,12393,17708,7285,24975,9523,5830,38848,21944,46128,19248,9671,9830,514
05000US19155,"Pottawattamie County, IA",46444,1029,3749,4236,1406,5814,3607,775,4000,3524,10128,4247,2382,1504,43
05000US19157,"Poweshiek County, IA",9693,677,624,1449,218,975,344,197,671,368,3004,677,389,100,0
05000US19159,"Ringgold County, IA",2214,311,260,207,71,179,118,18,59,79,699,69,77,67,0
05000US19161,"Sac County, IA",5116,507,365,716,217,631,365,98,278,275,1067,246,199,152,0
05000US19163,"Scott County, IA",80524,970,4327,13517,2537,9676,4059,1621,4885,6444,17192,7218,3818,3835,425
05000US19165,"Shelby County, IA",5965,532,364,480,363,861,498,101,362,405,1246,246,291,207,9
05000US19167,"Sioux County, IA",18285,1956,1105,2887,414,1892,643,209,866,881,4752,1302,1055,323,0
05000US19169,"Story County, IA",48514,1387,2415,4702,763,4486,1317,843,2562,3510,17523,4523,2177,2243,63
05000US19171,"Tama County, IA",8250,658,718,1154,263,926,371,65,292,412,1919,803,311,335,23
05000US19173,"Taylor County, IA",3000,328,188,675,43,259,160,18,110,95,721,111,149,143,0
05000US19175,"Union County, IA",6243,374,394,1353,141,767,290,78,218,351,1391,388,294,204,0
05000US19177,"Van Buren County, IA",3471,289,187,652,105,499,190,22,228,146,717,193,164,76,3
05000US19179,"Wapello County, IA",15977,261,707,4176,353,2005,844,203,642,732,3451,1316,777,499,11
05000US19181,"Warren County, IA",24234,284,2060,1421,725,2918,1137,492,3467,2071,5974,1436,1035,1190,24
05000US19183,"Washington County, IA",11183,735,905,1669,233,1387,360,193,338,759,3226,575,477,323,3
05000US19185,"Wayne County, IA",2719,304,194,508,134,259,129,15,70,88,724,109,108,75,2
05000US19187,"Webster County, IA",17679,868,894,2573,536,2474,997,319,788,838,4176,1604,866,746,0
05000US19189,"Winnebago County, IA",5543,386,313,1300,160,421,255,105,276,148,1407,317,282,173,0
05000US19191,"Winneshiek County, IA",11578,1013,893,1341,218,1124,392,84,393,538,3964,901,491,219,7
05000US19193,"Woodbury County, IA",50569,1167,3030,8809,1563,6560,2397,1141,2593,3921,10809,4597,2309,1524,149
05000US19195,"Worth County, IA",3901,334,295,805,113,579,142,25,97,158,675,313,211,153,1
05000US19197,"Wright County, IA",6271,627,373,1111,299,660,396,87,242,327,1481,239,253,176,0
