geoid,name,B15003001 - Total:,"B15003001 - Total:, Error",B15003002 - No schooling completed,"B15003002 - No schooling completed, Error",B15003003 - Nursery school,"B15003003 - Nursery school, Error",B15003004 - Kindergarten,"B15003004 - Kindergarten, Error",B15003005 - 1st grade,"B15003005 - 1st grade, Error",B15003006 - 2nd grade,"B15003006 - 2nd grade, Error",B15003007 - 3rd grade,"B15003007 - 3rd grade, Error",B15003008 - 4th grade,"B15003008 - 4th grade, Error",B15003009 - 5th grade,"B15003009 - 5th grade, Error",B15003010 - 6th grade,"B15003010 - 6th grade, Error",B15003011 - 7th grade,"B15003011 - 7th grade, Error",B15003012 - 8th grade,"B15003012 - 8th grade, Error",B15003013 - 9th grade,"B15003013 - 9th grade, Error",B15003014 - 10th grade,"B15003014 - 10th grade, Error",B15003015 - 11th grade,"B15003015 - 11th grade, Error","B15003016 - 12th grade, no diploma","B15003016 - 12th grade, no diploma, Error",B15003017 - Regular high school diploma,"B15003017 - Regular high school diploma, Error",B15003018 - GED or alternative credential,"B15003018 - GED or alternative credential, Error","B15003019 - Some college, less than 1 year","B15003019 - Some college, less than 1 year, Error","B15003020 - Some college, 1 or more years, no degree","B15003020 - Some college, 1 or more years, no degree, Error",B15003021 - Associate's degree,"B15003021 - Associate's degree, Error",B15003022 - Bachelor's degree,"B15003022 - Bachelor's degree, Error",B15003023 - Master's degree,"B15003023 - Master's degree, Error",B15003024 - Professional school degree,"B15003024 - Professional school degree, Error",B15003025 - Doctorate degree,"B15003025 - Doctorate degree, Error"
04000US19,Iowa,2013629,959,13059,736,87,54,283,124,730,197,890,237,1954,299,1910,320,2069,335,10862,691,4688,461,38130,1231,22272,897,29385,1091,37203,1145,24111,792,585826,3514,80913,1806,155241,2280,286187,2959,207885,2580,353091,3033,108259,1936,29074,1008,19520,830
05000US19001,"Adair County, IA",5460,24,14,12,0,14,0,14,0,14,0,14,0,14,0,14,9,20,17,17,5,12,139,50,69,30,80,37,92,33,74,32,2113,141,195,63,418,77,741,96,647,93,683,98,110,35,50,30,4,6
05000US19003,"Adams County, IA",2924,31,29,25,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,75,35,33,26,35,26,45,22,51,27,1063,99,141,49,217,49,423,71,345,70,342,75,76,28,32,20,17,15
05000US19005,"Allamakee County, IA",10012,85,58,38,0,16,0,16,0,16,17,27,0,16,6,11,13,19,147,73,26,19,359,97,72,42,154,54,189,78,100,52,4057,199,360,98,782,158,1308,160,984,159,1027,152,232,83,66,32,55,29
05000US19007,"Appanoose County, IA",9030,47,99,51,0,16,4,9,0,16,0,16,0,16,0,16,9,12,20,21,77,69,296,83,78,43,203,68,252,82,122,49,3050,162,533,118,707,101,1112,180,951,140,1064,150,341,91,92,57,20,15
05000US19009,"Audubon County, IA",4402,25,16,11,0,14,0,14,0,14,0,14,0,14,0,14,2,4,2,2,9,9,146,40,58,29,61,29,123,46,76,37,1630,118,209,47,331,67,557,88,480,78,560,96,94,42,39,28,9,10
05000US19011,"Benton County, IA",17713,44,74,43,0,18,0,18,0,18,0,18,2,4,6,12,8,12,67,50,19,20,243,62,184,78,281,80,242,70,159,74,6129,378,673,139,1677,210,2555,260,2151,213,2562,257,559,120,85,35,37,23
05000US19013,"Black Hawk County, IA",81889,143,885,232,0,23,0,23,7,12,0,23,95,54,86,62,68,47,332,129,178,70,1394,238,875,191,1384,241,1909,256,1383,225,23481,759,3976,452,5906,485,11339,616,7691,574,14427,695,4391,378,1016,159,1066,173
05000US19015,"Boone County, IA",18060,69,154,145,0,18,18,27,0,18,0,18,0,18,23,27,9,14,19,17,5,8,224,99,174,97,178,69,370,137,236,82,5754,401,639,156,1767,221,2713,273,2125,228,2662,268,749,156,170,69,71,36
05000US19017,"Bremer County, IA",15792,79,59,38,0,18,4,9,0,18,0,18,8,13,0,18,0,18,26,25,16,21,347,93,94,45,130,43,179,55,137,53,5136,307,464,104,996,146,2019,221,1838,197,3007,221,995,164,251,85,86,43
05000US19019,"Buchanan County, IA",13803,51,90,49,0,18,6,8,0,18,0,18,6,10,0,18,0,18,14,15,8,9,443,131,146,56,176,53,240,60,123,44,5254,248,651,138,984,162,1469,184,1732,213,1775,194,513,113,125,63,48,37
05000US19021,"Buena Vista County, IA",12755,86,236,131,4,6,1,3,96,81,46,40,48,45,130,74,71,73,560,178,10,16,295,105,452,130,283,100,477,140,200,86,3372,225,427,100,846,134,1597,170,947,128,1838,199,559,124,134,64,126,56
05000US19023,"Butler County, IA",10470,32,68,37,0,16,1,4,0,16,0,16,13,27,3,5,0,16,10,10,34,31,402,81,85,30,136,42,203,54,105,34,4250,204,292,74,710,80,1403,136,1133,128,1248,113,307,65,45,18,22,25
05000US19025,"Calhoun County, IA",7283,36,24,26,0,14,0,14,0,14,0,14,22,29,7,9,0,14,8,12,19,27,169,52,83,39,66,29,159,83,73,36,2487,155,269,72,554,117,1072,145,883,126,1025,160,223,60,123,46,17,15
05000US19027,"Carroll County, IA",14163,57,78,48,0,18,13,20,0,18,18,24,0,18,0,18,34,46,36,31,0,18,562,109,57,35,152,71,190,65,198,68,5466,286,476,100,1126,146,1788,243,1471,168,2022,223,350,110,94,50,32,30
05000US19029,"Cass County, IA",9746,44,47,34,0,16,0,16,8,13,0,16,0,16,8,14,0,16,2,4,15,19,137,57,79,41,70,37,196,79,171,64,3861,225,483,111,845,125,1341,180,877,134,1171,165,347,94,59,34,29,21
05000US19031,"Cedar County, IA",12835,36,61,39,0,16,0,16,9,14,0,16,0,16,8,13,18,22,10,10,3,4,244,72,130,59,177,50,343,95,70,43,4663,298,472,101,965,152,1631,221,1499,191,1821,239,435,96,162,58,114,63
05000US19033,"Cerro Gordo County, IA",31064,72,155,89,0,21,0,21,9,14,0,21,1,3,6,10,7,9,135,94,7,8,488,158,211,74,452,156,689,177,347,118,8343,558,1447,295,2653,290,4674,376,4914,463,4758,417,1092,168,523,146,153,74
05000US19035,"Cherokee County, IA",8606,57,33,31,0,16,0,16,0,16,0,16,0,16,0,16,0,16,24,31,26,27,167,59,111,46,103,53,103,54,101,69,2853,204,525,128,796,140,1231,193,889,152,1263,154,259,87,79,53,43,37
05000US19037,"Chickasaw County, IA",8629,36,25,19,0,16,0,16,0,16,0,16,32,31,0,16,10,13,7,12,0,16,386,97,124,54,138,53,169,55,55,26,3623,209,329,78,547,107,1032,133,867,111,977,161,243,67,51,31,14,16
05000US19039,"Clarke County, IA",6319,173,44,52,0,14,0,14,0,14,0,14,0,14,0,14,0,14,72,68,3,5,211,107,121,89,65,40,131,69,61,58,2370,239,473,146,486,143,951,227,518,151,596,132,194,88,23,25,0,14
05000US19041,"Clay County, IA",11680,88,72,47,0,16,0,16,0,16,0,16,6,35,0,16,10,21,32,44,6,11,153,62,85,55,131,59,224,103,108,55,3946,290,428,111,1012,196,1829,268,1457,235,1809,282,221,89,91,49,60,54
05000US19043,"Clayton County, IA",12690,49,46,52,0,16,0,16,0,16,0,16,6,7,0,16,0,16,30,26,17,14,470,84,119,45,137,45,149,47,113,41,5549,248,509,86,907,130,1510,135,1176,132,1400,154,400,88,103,39,49,29
