geoid,name,B19013001 - Median household income in the past 12 months (in 2012 inflation-adjusted dollars),"B19013001 - Median household income in the past 12 months (in 2012 inflation-adjusted dollars), Error"
04000US19,Iowa,51129,273
05000US19001,"Adair County, IA",47872,2402
05000US19003,"Adams County, IA",45099,4257
05000US19005,"Allamakee County, IA",47539,2983
05000US19007,"Appanoose County, IA",37866,1678
05000US19009,"Audubon County, IA",47630,3244
05000US19011,"Benton County, IA",57488,3374
05000US19013,"Black Hawk County, IA",45610,997
05000US19015,"Boone County, IA",51284,2307
05000US19017,"Bremer County, IA",60193,1827
05000US19019,"Buchanan County, IA",54596,2485
05000US19021,"Buena Vista County, IA",46947,1716
05000US19023,"Butler County, IA",51348,2551
05000US19025,"Calhoun County, IA",45097,2620
05000US19027,"Carroll County, IA",48824,2622
05000US19029,"Cass County, IA",43114,2039
05000US19031,"Cedar County, IA",58433,1339
05000US19033,"Cerro Gordo County, IA",44762,1790
05000US19035,"Cherokee County, IA",47816,2523
05000US19037,"Chickasaw County, IA",43741,2640
05000US19039,"Clarke County, IA",44211,3864
05000US19041,"Clay County, IA",46880,2749
05000US19043,"Clayton County, IA",46617,2774
05000US19045,"Clinton County, IA",49010,1636
05000US19047,"Crawford County, IA",46601,2180
05000US19049,"Dallas County, IA",71878,2326
05000US19051,"Davis County, IA",46807,3952
05000US19053,"Decatur County, IA",34942,3962
05000US19055,"Delaware County, IA",51663,2605
05000US19057,"Des Moines County, IA",43427,1859
05000US19059,"Dickinson County, IA",53426,1902
05000US19061,"Dubuque County, IA",50885,1348
05000US19063,"Emmet County, IA",46547,3246
05000US19065,"Fayette County, IA",42995,1893
05000US19067,"Floyd County, IA",42386,2673
05000US19069,"Franklin County, IA",49144,2341
05000US19071,"Fremont County, IA",49245,4022
05000US19073,"Greene County, IA",45816,3109
05000US19075,"Grundy County, IA",56264,3634
05000US19077,"Guthrie County, IA",49114,2205
05000US19079,"Hamilton County, IA",45691,4475
05000US19081,"Hancock County, IA",48695,2194
05000US19083,"Hardin County, IA",47902,1853
05000US19085,"Harrison County, IA",53939,3050
05000US19087,"Henry County, IA",43843,2662
05000US19089,"Howard County, IA",45300,3421
05000US19091,"Humboldt County, IA",48710,3357
05000US19093,"Ida County, IA",43690,2173
05000US19095,"Iowa County, IA",57318,3791
05000US19097,"Jackson County, IA",44854,3157
05000US19099,"Jasper County, IA",48746,2187
05000US19101,"Jefferson County, IA",48411,4270
05000US19103,"Johnson County, IA",53993,1697
05000US19105,"Jones County, IA",53562,2701
05000US19107,"Keokuk County, IA",42688,2507
05000US19109,"Kossuth County, IA",49431,2201
05000US19111,"Lee County, IA",41954,1874
05000US19113,"Linn County, IA",56790,1356
05000US19115,"Louisa County, IA",49905,4442
05000US19117,"Lucas County, IA",44020,4364
05000US19119,"Lyon County, IA",49727,1831
05000US19121,"Madison County, IA",56765,3521
05000US19123,"Mahaska County, IA",47758,2428
05000US19125,"Marion County, IA",53684,2400
05000US19127,"Marshall County, IA",49259,1323
05000US19129,"Mills County, IA",62908,3454
05000US19131,"Mitchell County, IA",50574,3289
05000US19133,"Monona County, IA",42832,3172
05000US19135,"Monroe County, IA",45266,4616
05000US19137,"Montgomery County, IA",40530,3075
05000US19139,"Muscatine County, IA",51675,1931
05000US19141,"O'Brien County, IA",45194,3369
05000US19143,"Osceola County, IA",45951,4724
05000US19145,"Page County, IA",41803,2320
05000US19147,"Palo Alto County, IA",40500,4022
05000US19149,"Plymouth County, IA",58916,2270
05000US19151,"Pocahontas County, IA",42138,2660
05000US19153,"Polk County, IA",58096,1019
05000US19155,"Pottawattamie County, IA",49941,1301
05000US19157,"Poweshiek County, IA",50703,2822
05000US19159,"Ringgold County, IA",43655,3494
05000US19161,"Sac County, IA",46606,2368
05000US19163,"Scott County, IA",53002,949
05000US19165,"Shelby County, IA",47731,2507
05000US19167,"Sioux County, IA",55252,2097
05000US19169,"Story County, IA",49683,1578
05000US19171,"Tama County, IA",49244,1677
05000US19173,"Taylor County, IA",42638,1893
05000US19175,"Union County, IA",41795,4192
05000US19177,"Van Buren County, IA",41572,2299
05000US19179,"Wapello County, IA",41088,1973
05000US19181,"Warren County, IA",62778,2256
05000US19183,"Washington County, IA",52636,3017
05000US19185,"Wayne County, IA",38447,2229
05000US19187,"Webster County, IA",41751,1551
05000US19189,"Winnebago County, IA",46438,3217
05000US19191,"Winneshiek County, IA",52827,2341
05000US19193,"Woodbury County, IA",45289,1260
05000US19195,"Worth County, IA",50603,3331
05000US19197,"Wright County, IA",45713,3028
